id,language,raw_query,cleaned_query
1,es,¿Dónde está mi pedido?,Dónde está mi pedido
2,fr,J’ai un problème avec mon compte.,Jai un problème avec mon compte
3,hi,मेरा पासवर्ड काम नहीं कर रहा है।,मेरा पासवर्ड काम नहीं कर रहा है।
4,ar,كيف يمكنني استعادة كلمة المرور؟,كيف يمكنني استعادة كلمة المرور؟
5,zh,我忘记了我的密码。,我忘记了我的密码
6,de,Ich möchte meine Bestellung ändern.,Ich möchte meine Bestellung ändern
7,ru,Где находится мой заказ?,Где находится мой заказ
8,pt,Quero atualizar meu endereço.,Quero atualizar meu endereço
9,ja,注文の状況を確認したいです。,注文の状況を確認したいです
10,ko,내 주문은 어디에 있나요?,내 주문은 어디에 있나요
11,it,Non riesco ad accedere al mio account.,Non riesco ad accedere al mio account
12,tr,Siparişimi ne zaman alacağım?,Siparişimi ne zaman alacağım
13,nl,Ik moet mijn wachtwoord resetten.,Ik moet mijn wachtwoord resetten
14,sv,Jag har problem med betalningen.,Jag har problem med betalningen
15,pl,Jak mogę odzyskać hasło?,Jak mogę odzyskać hasło
16,ta,என் கணக்கில் உள்நுழைய முடியவில்லை.,என கணககல உளநழய மடயவலல
17,te,నా ఆర్డర్ ఎక్కడుంది?,న ఆరడర ఎకకడద
18,ur,میرا آرڈر کہاں ہے؟,میرا آرڈر کہاں ہے؟
19,id,Saya lupa kata sandi saya.,Saya lupa kata sandi saya
20,vi,Tôi gặp sự cố khi thanh toán.,Tôi gặp sự cố khi thanh toán
21,th,ฉันต้องการเปลี่ยนที่อยู่ของฉัน,ฉนตองการเปลยนทอยของฉน
22,ms,Bagaimana saya boleh menukar kata laluan?,Bagaimana saya boleh menukar kata laluan
23,fa,چگونه می‌توانم رمز عبورم را بازیابی کنم؟,چگونه میتوانم رمز عبورم را بازیابی کنم؟
24,bn,আমি আমার পাসওয়ার্ড ভুলে গেছি।,আম আমর পসওযরড ভল গছ।
25,uk,Я не можу увійти в свій акаунт.,Я не можу увійти в свій акаунт
26,ro,Nu îmi pot accesa contul.,Nu îmi pot accesa contul
27,el,Ξέχασα τον κωδικό πρόσβασής μου.,Ξέχασα τον κωδικό πρόσβασής μου
28,he,אני לא מצליח להיכנס לחשבון שלי.,אני לא מצליח להיכנס לחשבון שלי
